metric,M,ell,lambda,x_star,x_plus,C_lambda,Ccrit_analytic,Ccrit_over_CR
schwarzschild,10.0,0.0,0.0,1.5,2.0,1.299038105676658,1632.4194278107962,1.0000000000000002
hayward,10.0,0.25,0.025,1.4999997943910062,1.9996874022901348,1.2980758550960365,1631.2102280687989,0.9992592591576671
hayward,10.0,0.5,0.05,1.4999967175087665,1.9987484340727184,1.2951890954404666,1627.5826188981518,0.9970370305386952
hayward,10.0,0.75,0.075,1.4999834427983978,1.9971795506745955,1.290377755567767,1621.536510898953,0.9933332593778073
hayward,10.0,1.0,0.1,1.4999479331129482,1.994974778877864,1.2836415593320927,1613.0715570560997,0.988147733097833
hayward,10.0,1.25,0.125,1.4998736847776784,1.9921256161435803,1.2749797905282079,1602.1868573595484,0.9814799003637247
hayward,10.0,1.5,0.15,1.4997400380599373,1.9886208840749744,1.264390965757889,1588.880547716115,0.9733286192549975
hayward,10.0,1.75,0.175,1.4995225270940642,1.9844465302142789,1.2518724156443566,1573.1492736880075,0.9636918348844485
hayward,10.0,2.0,0.2,1.4991932397213397,1.979585369861985,1.2374197728718401,1554.9875471443695,0.9525661852908301
hayward,10.0,2.25,0.225,1.498721157592966,1.9740167565707325,1.221026362145104,1534.386979661812,0.939946531829474
hayward,10.0,2.5,0.25,1.498072448632584,1.96771616598499,1.2026824820649578,1511.3353801025637,0.9258254063598008
hayward,10.0,2.75,0.275,1.4972106867892088,1.960654672374714,1.1823745617190988,1485.815694755269,0.9101923619886502
hayward,10.0,3.0,0.3,1.496096976989742,1.9527982899364444,1.1600841648997742,1457.8047559979923,0.8930332065166758
hayward,10.0,3.25,0.325,1.4946899655058026,1.9441071407740511,1.1357868013105537,1427.2717884165943,0.8743290873048963
hayward,10.0,3.5,0.35,1.4929457167015752,1.9345343970537616,1.1094504853162541,1394.1765976764698,0.8540553817998671
hayward,10.0,3.75,0.375,1.4908174356487605,1.9240249238726523,1.0810339560926,1358.467333896649,0.8321803274042515
hayward,10.0,4.0,0.4,1.488255011516549,1.9125135183912847,1.050484434092975,1320.077672342769,0.8086632944041213
hayward,10.0,4.25,0.425,1.4852043479886736,1.899922593755587,1.017734730259225,1278.9231807542285,0.7834525606383931
hayward,10.0,4.5,0.45,1.4816064326663234,1.8861590832526427,0.982699433804207,1234.8965287704584,0.756482376852469
hayward,10.0,4.75,0.475,1.4773960750240591,1.8711102231911776,0.9452697594532284,1187.8610127835414,0.7276690001028456
hayward,10.0,5.0,0.5,1.4725002077751892,1.8546376797182864,0.9053063949354183,1137.641567830788,0.6969051877534046
hayward,10.0,5.25,0.525,1.46683559218312,1.83656915313312,0.8626292760818983,1084.0119186041493,0.6640523263423147
hayward,10.0,5.5,0.55,1.460305680862434,1.8166859990186208,0.8170024727276659,1026.6755865143723,0.6289287967438771
hayward,10.0,5.75,0.575,1.4527962479968606,1.79470428447108,0.7681109578518537,965.2366969316812,0.5912920910443588
hayward,10.0,6.0,0.6,1.4441691505771996,1.77024444826673,0.7155231865111169,899.1529544865938,0.550810005791483
hayward,10.0,6.25,0.625,1.4342531427753502,1.7427798640963568,0.658627215839147,827.6553690938254,0.5070114671471271
hayward,10.0,6.5,0.65,1.4228298316100405,1.7115430027644238,0.5965132493702118,749.6006567961734,0.4591961134654269
hayward,10.0,6.75,0.675,1.4096111850393784,1.675336531413674,0.5277351176185072,663.171507420659,0.40625068295715194
hayward,10.0,7.0,0.7,1.3942013618152154,1.632095745149885,0.4497524249168288,565.1755656211618,0.34621957812589077
hayward,10.0,7.25,0.725,1.3760269180825366,1.5776244880501098,0.35730179397030604,448.99867642062696,0.2750510492409232
hayward,10.0,7.5,0.75,1.3541957562607083,1.4999999999999123,0.2351009048800734,295.43651024942056,0.18098076095898
