metric,M,ell,lambda,x_star_analytic,x_plus_analytic,Ccrit_analytic,Ccrit_numeric,tail_mean
schwarzschild,10.0,0.0,0.0,1.5,2.0,1632.4194278107962,1632.4194278020855,1634.292030434277
hayward,10.0,0.25,0.025,1.4999997943910062,1.9996874022901348,1631.2102280687989,1631.210228038648,1633.0816660474006
hayward,10.0,0.5,0.05,1.4999967175087663,1.9987484340727182,1627.5826188981518,1627.5826188896522,1629.4505145791722
hayward,10.0,0.75,0.075,1.4999834427983978,1.9971795506745953,1621.536510898953,1621.5365108988008,1623.3985083621303
hayward,10.0,1.0,0.1,1.4999479331129482,1.994974778877864,1613.0715570560997,1613.0715570560146,1614.9252991303015
hayward,10.0,1.25,0.125,1.4998736847776784,1.9921256161435803,1602.1868573595484,1602.186857329363,1604.0299803729172
hayward,10.0,1.5,0.15,1.4997400380599373,1.9886208840749746,1588.880547716115,1588.880547686068,1590.710659291464
hayward,10.0,1.75,0.175,1.4995225270940642,1.9844465302142789,1573.1492736880077,1573.1492736714765,1574.9639710667464
hayward,10.0,2.0,0.2,1.4991932397213397,1.979585369861985,1554.9875471443695,1554.9875471442062,1556.784404145806
hayward,10.0,2.25,0.225,1.498721157592966,1.9740167565707325,1534.386979661812,1534.386979651067,1536.163562094075
hayward,10.0,2.5,0.25,1.498072448632584,1.96771616598499,1511.3353801025637,1511.335380080406,1513.0892149943825
hayward,10.0,2.75,0.275,1.4972106867892088,1.960654672374714,1485.815694755269,1485.815694748176,1487.5442521030236
hayward,10.0,3.0,0.3,1.496096976989742,1.9527982899364444,1457.8047559979923,1457.8047559835945,1459.505471734367
hayward,10.0,3.25,0.325,1.4946899655058026,1.9441071407740511,1427.2717884165945,1427.2717884165934,1428.9420174939573
hayward,10.0,3.5,0.35,1.4929457167015752,1.9345343970537616,1394.1765976764698,1394.1765976628506,1395.8136434760395
hayward,10.0,3.75,0.375,1.4908174356487605,1.9240249238726523,1358.467333896649,1358.4673338966484,1360.0683760470308
hayward,10.0,4.0,0.4,1.488255011516549,1.9125135183912851,1320.0776723427687,1320.0776723427375,1321.6397968390825
hayward,10.0,4.25,0.425,1.4852043479886736,1.899922593755587,1278.9231807542283,1278.9231807485637,1280.443329576038
hayward,10.0,4.5,0.45,1.4816064326663234,1.8861590832526427,1234.8965287704584,1234.896528770438,1236.3714658798972
hayward,10.0,4.75,0.475,1.4773960750240591,1.8711102231911776,1187.8610127835414,1187.8610127806335,1189.287303276969
hayward,10.0,5.0,0.5,1.4725002077751892,1.8546376797182862,1137.641567830788,1137.6415678279423,1139.015504493457
hayward,10.0,5.25,0.525,1.46683559218312,1.8365691531331196,1084.0119186041493,1084.0119185992762,1085.3294725875744
hayward,10.0,5.5,0.55,1.460305680862434,1.8166859990186208,1026.6755865143725,1026.6755864847712,1027.9323174950543
hayward,10.0,5.75,0.575,1.4527962479968606,1.79470428447108,965.2366969316811,965.2366969278836,966.4275688914109
hayward,10.0,6.0,0.6,1.4441691505771996,1.7702444482667299,899.1529544865938,899.1529544741263,900.2722307002166
hayward,10.0,6.25,0.625,1.4342531427753502,1.7427798640963568,827.6553690938254,827.6553690773168,828.6962359377574
hayward,10.0,6.5,0.65,1.4228298316100405,1.7115430027644238,749.6006567961734,749.6006567821543,750.5547488509412
hayward,10.0,6.75,0.675,1.4096111850393784,1.675336531413674,663.171507420659,663.1715073995672,664.028008389509
hayward,10.0,7.0,0.7,1.3942013618152154,1.632095745149885,565.1755656211618,565.1755656185815,565.9193200930625
hayward,10.0,7.25,0.725,1.3760269180825366,1.5776244880501098,448.99867642062696,448.99867641020705,449.6055263509411
hayward,10.0,7.5,0.75,1.3541957562607085,1.4999999999999125,295.43651024942056,295.43651021960255,295.85554430605305
